Sentence,Opinion
"Downloading books is easy, the screen is NOT too dark, the font size is adjustable and the Kindle customer service support is terrific.",1
I just wish the screen is larger.,1
"The major waves of Japanese treatment of these events have ranged from total cover-up during the war, confessions and documentation by the Japanese soldiers during the 1950s and 1960s, minimization of the extent of the Nanking Massacre during the 1970s and 1980s, official Japanese government distortion and rewriting of history during the 1980s, and total denial of the occurrence of the Nanking Massacre by some government officials in 1990.",0
"Room service will bring a bucket of ice any time, or there’s a machine on the 25th floor.",1
"Staying with food, try also the Weber Grill, N.",1
9,1
"Winston Churchill received it, and Anthony Eden presented it to the British cabinet.",0
ciceris flourish in conditions such as cold temperature.,0
We were five people with two rooms.,1
"Gas mileage is not as advertised, 25 mpg at most.",1
"Consistent with classical unemployment, frictional unemployment occurs when appropriate job vacancies exist for a worker, but the length of time needed to search for and find the job leads to a period of unemployment.",0
"Former president Theodore Roosevelt denounced German acts as ""piracy"".",0
255w has an arrow at the top of the screen that shows the direction of the next turn.,1
"General Yudenich, the Russian commander from 1915 to 1916, drove the Turks out of most of the southern Caucasus with a string of victories.",0
"This decline was made worse by the March 2011 earthquake and tsunami, which killed nearly 16,000 people.",0
and we also had an excellent view of Coit Tower as well.,1
"A must, buy for everybody who loves music and video.",1
"The sparsely populated region of Drenthe was part of the republic too, although it was not considered one of the provinces.",0
"Also, prize money is given to the winner of each divisional championship, which increases from 100,000 yen for a jonokuchi victory up to 10,000,000 yen for winning the top division.",0
"Since the 1990s, Dutch electronic dance music (EDM) gained widespread popularity in the world in many forms, from trance, techno and gabber to hardstyle.",0
"Furthermore, when outside, they must wear a form of wooden sandals called geta that make a distinctive clip-clop sound as one walks in them.",0
"In one such project, cartographers created detailed maps of each province and city that were then collected in a large atlas.",0
"The friendly, helpful and knowledgeable staff can do or help you with just about anything you want or need.",1
but I would stay again.,1
"4 PASS, Battery life is amazing, used the laptop in  Super Performance Mode  for over 6 hours of watching videos, checking email, connecting with USB Verizon broadband card, and still had battery life leftover.",1
"Overall, for the price , it is a pretty good deal.",1
"On 5 August, they captured Warsaw and forced the Russians to withdraw from Poland.",0
"In general usage, the term steam engine can refer to either complete steam plants (including boilers etc.) such as railway steam locomotives and portable engines, or may refer to the piston or turbine machinery alone, as in the beam engine and stationary steam engine.",0
"2 FAIL,",1
"The saga narrative adds that numerous names—at the time of the narrative, popularly in use—were derived from Thor.",0
